Reaction,Dataset,Reference,Reference_in_kcal_mol,TAE_in_kcal_mol,Number_of_atoms,Stoichiometry,Subset
TAE-PTComp_1853_tm_ta_34,TAE-PTComp,0.154247827281792,96.791972972973,3581.303,37,"-0.027027027027027,tm_ta_34,0.648648648648649,H,0.027027027027027,C_cation,0.189189189189189,C,0.108108108108108,N,0.027027027027027,Ta",tm_ta
TAE-PTComp_1854_tm_ta_35,TAE-PTComp,0.167871887762777,105.3412,1580.118,15,"-0.0666666666666667,tm_ta_35,0.466666666666667,H,0.4,O,0.0666666666666667,Ta",tm_ta
TAE-PTComp_1855_tm_ta_36,TAE-PTComp,0.208674391873117,130.945157894737,4975.916,38,"-0.0263157894736842,tm_ta_36,0.315789473684211,H,0.0263157894736842,C_cation,0.5,C,0.105263157894737,N,0.0263157894736842,O,0.0263157894736842,Ta",tm_ta
TAE-PTComp_1856_tm_w_1,TAE-PTComp,0.194814500015265,122.247944444444,2200.463,18,"-0.0555555555555556,tm_w_1,0.277777777777778,H,0.388888888888889,C,0.0555555555555556,O_anion,0.222222222222222,O,0.0555555555555556,W",tm_w
TAE-PTComp_1857_tm_w_2,TAE-PTComp,0.214231369950912,134.432214285714,1882.051,14,"-0.0714285714285714,tm_w_2,0.0714285714285714,H,0.428571428571429,C,0.0714285714285714,O_anion,0.357142857142857,O,0.0714285714285714,W",tm_w
TAE-PTComp_1858_tm_w_3,TAE-PTComp,0.166227163591017,104.30912,2607.728,25,"-0.04,tm_w_3,0.36,H,0.36,C,0.04,S_anion,0.2,S,0.04,W",tm_w
TAE-PTComp_1859_tm_w_4,TAE-PTComp,0.182896459118679,114.769260869565,2639.693,23,"-0.0434782608695652,tm_w_4,0.478260869565217,H,0.0434782608695652,C_anion,0.434782608695652,C,0.0434782608695652,W",tm_w
TAE-PTComp_1860_tm_w_5,TAE-PTComp,0.163585634890292,102.651535714286,2874.243,28,"-0.0357142857142857,tm_w_5,0.321428571428571,H,0.107142857142857,C,0.392857142857143,O,0.107142857142857,P,0.0357142857142857,S,0.0357142857142857,W",tm_w
TAE-PTComp_1861_tm_w_6,TAE-PTComp,0.143055878244624,89.7689189189189,3321.45,37,"-0.027027027027027,tm_w_6,0.648648648648649,H,0.216216216216216,C,0.108108108108108,Si,0.027027027027027,W",tm_w
TAE-PTComp_1862_tm_w_7,TAE-PTComp,0.181830607006828,114.100428571429,798.703,7,"-0.142857142857143,tm_w_7,0.285714285714286,H,0.571428571428571,O,0.142857142857143,W",tm_w
TAE-PTComp_1863_tm_w_8,TAE-PTComp,0.203458614746739,127.672208333333,3064.133,24,"-0.0416666666666667,tm_w_8,0.125,H,0.375,C,0.0416666666666667,N,0.333333333333333,O,0.0416666666666667,S,0.0833333333333333,W",tm_w
TAE-PTComp_1864_tm_w_9,TAE-PTComp,0.13702853811209,85.9867058823529,1461.774,17,"-0.0588235294117647,tm_w_9,0.470588235294118,H,0.0588235294117647,B,0.117647058823529,C,0.0588235294117647,N,0.0588235294117647,S,0.117647058823529,Cl,0.117647058823529,W",tm_w
TAE-PTComp_1865_tm_w_10,TAE-PTComp,0.142890460388559,89.6651176470588,1524.307,17,"-0.0588235294117647,tm_w_10,0.470588235294118,H,0.0588235294117647,B,0.117647058823529,C,0.0588235294117647,N,0.0588235294117647,S,0.117647058823529,Cl,0.117647058823529,W",tm_w
TAE-PTComp_1866_tm_w_11,TAE-PTComp,0.142698130104127,89.5444285714286,1253.622,14,"-0.0714285714285714,tm_w_11,0.5,H,0.0714285714285714,B,0.0714285714285714,C,0.0714285714285714,N,0.0714285714285714,S,0.0714285714285714,Br,0.142857142857143,W",tm_w
TAE-PTComp_1867_tm_w_12,TAE-PTComp,0.149274734831188,93.6713103448276,2716.468,29,"-0.0344827586206897,tm_w_12,0.517241379310345,H,0.206896551724138,C,0.0344827586206897,N,0.137931034482759,O,0.0689655172413793,P,0.0344827586206897,W",tm_w
TAE-PTComp_1868_tm_w_13,TAE-PTComp,0.157765479925453,98.9993333333333,1484.99,15,"-0.0666666666666667,tm_w_13,0.4,H,0.2,C,0.2,O,0.133333333333333,P,0.0666666666666667,W",tm_w
TAE-PTComp_1869_tm_w_14,TAE-PTComp,0.175851909320079,110.348739130435,2538.021,23,"-0.0434782608695652,tm_w_14,0.434782608695652,H,0.434782608695652,C,0.0869565217391304,I,0.0434782608695652,W",tm_w
TAE-PTComp_1870_tm_w_15,TAE-PTComp,0.159142851520966,99.8636470588235,1697.682,17,"-0.0588235294117647,tm_w_15,0.470588235294118,H,0.176470588235294,C,0.117647058823529,N,0.176470588235294,O,0.0588235294117647,W",tm_w
TAE-PTComp_1871_tm_w_16,TAE-PTComp,0.145585978254051,91.3565806451613,2832.054,31,"-0.032258064516129,tm_w_16,0.612903225806452,H,0.258064516129032,C,0.032258064516129,O,0.032258064516129,P,0.032258064516129,S,0.032258064516129,W",tm_w
TAE-PTComp_1872_tm_w_17,TAE-PTComp,0.21213348679081,133.115772727273,2928.547,22,"-0.0454545454545455,tm_w_17,0.363636363636364,C,0.0909090909090909,N,0.454545454545455,O,0.0909090909090909,W",tm_w
TAE-PTComp_1873_tm_w_18,TAE-PTComp,0.160604746486849,100.781,2317.963,23,"-0.0434782608695652,tm_w_18,0.521739130434783,H,0.217391304347826,C,0.173913043478261,N,0.0434782608695652,O,0.0434782608695652,W",tm_w
TAE-PTComp_1874_tm_w_19,TAE-PTComp,0.233885871156173,146.7656,2201.484,15,"-0.0666666666666667,tm_w_19,0.6,O,0.4,W",tm_w
TAE-PTComp_1875_tm_w_20,TAE-PTComp,0.161763039755783,101.50784,2537.696,25,"-0.04,tm_w_20,0.48,H,0.24,B,0.24,N,0.04,W",tm_w
TAE-PTComp_1876_tm_w_21,TAE-PTComp,0.184195686661323,115.584538461538,1502.599,13,"-0.0769230769230769,tm_w_21,0.461538461538462,B,0.461538461538462,F,0.0769230769230769,W",tm_w
TAE-PTComp_1877_tm_w_22,TAE-PTComp,0.118397074124199,74.2952857142857,520.067,7,"-0.142857142857143,tm_w_22,0.857142857142857,Cl,0.142857142857143,W",tm_w
TAE-PTComp_1878_tm_w_23,TAE-PTComp,0.175670256077943,110.23475,1763.756,16,"-0.0625,tm_w_23,0.375,H,0.375,C,0.1875,O,0.0625,W",tm_w
TAE-PTComp_1879_tm_w_24,TAE-PTComp,0.173707950430759,109.003384615385,1417.044,13,"-0.0769230769230769,tm_w_24,0.461538461538462,C,0.461538461538462,S,0.0769230769230769,W",tm_w
TAE-PTComp_1880_tm_w_25,TAE-PTComp,0.145546009701865,91.3315,1095.978,12,"-0.0833333333333333,tm_w_25,0.333333333333333,H,0.166666666666667,C,0.0833333333333333,O,0.333333333333333,Cl,0.0833333333333333,W",tm_w
TAE-PTComp_1881_tm_w_26,TAE-PTComp,0.172875705214029,108.481142857143,759.368,7,"-0.142857142857143,tm_w_26,0.857142857142857,F,0.142857142857143,W",tm_w
TAE-PTComp_1882_tm_w_27,TAE-PTComp,0.150410159369975,94.3838,471.919,5,"-0.2,tm_w_27,0.2,N,0.6,Cl,0.2,W",tm_w
TAE-PTComp_1883_tm_w_28,TAE-PTComp,0.171291756447954,107.4872,537.436,5,"-0.2,tm_w_28,0.4,O,0.4,Br,0.2,W",tm_w
TAE-PTComp_1884_tm_w_29,TAE-PTComp,0.154432728118867,96.908,872.172,9,"-0.111111111111111,tm_w_29,0.444444444444444,O,0.444444444444444,P,0.111111111111111,W",tm_w
TAE-PTComp_1885_tm_w_30,TAE-PTComp,0.160567828053543,100.757833333333,604.547,6,"-0.166666666666667,tm_w_30,0.333333333333333,H,0.166666666666667,C,0.166666666666667,N,0.166666666666667,S_cation,0.166666666666667,W",tm_w
TAE-PTComp_1886_tm_w_31,TAE-PTComp,0.145088646089262,91.0445,364.178,4,"-0.25,tm_w_31,0.25,Br_cation,0.5,Br,0.25,W",tm_w
TAE-PTComp_1887_tm_w_32,TAE-PTComp,0.191210747430867,119.986555555556,4319.516,36,"-0.0277777777777778,tm_w_32,0.416666666666667,H,0.0277777777777778,C_cation,0.416666666666667,C,0.0555555555555556,N,0.0555555555555556,O,0.0277777777777778,W",tm_w
TAE-PTComp_1888_tm_re_1,TAE-PTComp,0.154433478048955,96.9084705882353,1647.444,17,"-0.0588235294117647,tm_re_1,0.0588235294117647,H_anion,0.411764705882353,H,0.470588235294118,B,0.0588235294117647,Re",tm_re
TAE-PTComp_1889_tm_re_2,TAE-PTComp,0.169660246044349,106.463411764706,1809.878,17,"-0.0588235294117647,tm_re_2,0.470588235294118,H,0.0588235294117647,C_anion,0.411764705882353,C,0.0588235294117647,Re",tm_re
TAE-PTComp_1890_tm_re_3,TAE-PTComp,0.159711722595508,100.220619047619,2104.633,21,"-0.0476190476190476,tm_re_3,0.476190476190476,H,0.19047619047619,B,0.0476190476190476,C_anion,0.0476190476190476,C,0.19047619047619,N,0.0476190476190476,Re",tm_re
TAE-PTComp_1891_tm_re_4,TAE-PTComp,0.22245937217886,139.595363636364,1535.549,11,"-0.0909090909090909,tm_re_4,0.454545454545455,C,0.0909090909090909,O_anion,0.363636363636364,O,0.0909090909090909,Re",tm_re
TAE-PTComp_1892_tm_re_5,TAE-PTComp,0.180784825034822,113.44419047619,2382.328,21,"-0.0476190476190476,tm_re_5,0.476190476190476,H,0.0476190476190476,C_anion,0.428571428571429,C,0.0476190476190476,Re",tm_re
TAE-PTComp_1893_tm_re_6,TAE-PTComp,0.170025799465892,106.6928,533.464,5,"-0.2,tm_re_6,0.4,O,0.2,S_anion,0.2,S,0.2,Re",tm_re
TAE-PTComp_1894_tm_re_7,TAE-PTComp,0.192897087618837,121.04475,484.179,4,"-0.25,tm_re_7,0.25,O_anion,0.5,O,0.25,Re",tm_re
TAE-PTComp_1895_tm_re_8,TAE-PTComp,0.188452201208958,118.255541666667,2838.133,24,"-0.0416666666666667,tm_re_8,0.25,H,0.416666666666667,C,0.25,O,0.0833333333333333,Re",tm_re
TAE-PTComp_1896_tm_re_9,TAE-PTComp,0.199535765607808,125.210583333333,3005.054,24,"-0.0416666666666667,tm_re_9,0.125,H,0.375,C,0.125,N,0.25,O,0.0416666666666667,S,0.0833333333333333,Re",tm_re
TAE-PTComp_1897_tm_re_10,TAE-PTComp,0.202504180285713,127.073291666667,3049.759,24,"-0.0416666666666667,tm_re_10,0.125,H,0.375,C,0.125,N,0.291666666666667,O,0.0833333333333333,Re",tm_re
TAE-PTComp_1898_tm_re_11,TAE-PTComp,0.187825166471861,117.862071428571,3300.138,28,"-0.0357142857142857,tm_re_11,0.285714285714286,H,0.357142857142857,C,0.214285714285714,O,0.0714285714285714,P,0.0714285714285714,Re",tm_re
TAE-PTComp_1899_tm_re_12,TAE-PTComp,0.147155976200423,92.3417692307692,2400.886,26,"-0.0384615384615385,tm_re_12,0.5,H,0.230769230769231,C,0.0384615384615385,N,0.0769230769230769,O,0.115384615384615,P,0.0384615384615385,Re",tm_re
TAE-PTComp_1900_tm_re_13,TAE-PTComp,0.192241364893954,120.633277777778,2171.399,18,"-0.0555555555555556,tm_re_13,0.277777777777778,H,0.388888888888889,C,0.277777777777778,O,0.0555555555555556,Re",tm_re
TAE-PTComp_1901_tm_re_14,TAE-PTComp,0.191921719029834,120.432696969697,3974.279,33,"-0.0303030303030303,tm_re_14,0.363636363636364,H,0.454545454545455,C,0.121212121212121,O,0.0606060606060606,Re",tm_re
TAE-PTComp_1902_tm_re_15,TAE-PTComp,0.190972343046097,119.836954545455,2636.413,22,"-0.0454545454545455,tm_re_15,0.318181818181818,H,0.454545454545455,C,0.181818181818182,O,0.0454545454545455,Re",tm_re
TAE-PTComp_1903_tm_re_16,TAE-PTComp,0.189626744879079,118.992578947368,2260.859,19,"-0.0526315789473684,tm_re_16,0.368421052631579,H,0.473684210526316,C,0.105263157894737,O,0.0526315789473684,Re",tm_re
TAE-PTComp_1904_tm_re_17,TAE-PTComp,0.210327262703174,131.98235,2639.647,20,"-0.05,tm_re_17,0.4,C,0.4,O,0.1,I,0.1,Re",tm_re
TAE-PTComp_1905_tm_re_18,TAE-PTComp,0.151708405168858,95.1984615384615,2475.16,26,"-0.0384615384615385,tm_re_18,0.538461538461538,H,0.230769230769231,C,0.0384615384615385,N,0.0769230769230769,O,0.0769230769230769,P,0.0384615384615385,Re",tm_re
TAE-PTComp_1906_tm_re_19,TAE-PTComp,0.18501524356291,116.098818181818,2554.174,22,"-0.0454545454545455,tm_re_19,0.454545454545455,B,0.454545454545455,F,0.0909090909090909,Re",tm_re
TAE-PTComp_1907_tm_re_20,TAE-PTComp,0.190541257760232,119.566444444444,1076.098,9,"-0.111111111111111,tm_re_20,0.777777777777778,O,0.222222222222222,Re",tm_re
TAE-PTComp_1908_tm_re_21,TAE-PTComp,0.165287013110876,103.719166666667,1866.945,18,"-0.0555555555555556,tm_re_21,0.333333333333333,H,0.277777777777778,C,0.277777777777778,O,0.0555555555555556,P,0.0555555555555556,Re",tm_re
TAE-PTComp_1909_tm_re_22,TAE-PTComp,0.142501513835324,89.42105,1788.421,20,"-0.05,tm_re_22,0.5,H,0.15,C,0.15,O,0.15,P,0.05,Re",tm_re
TAE-PTComp_1910_tm_re_23,TAE-PTComp,0.211758290234151,132.880333333333,1594.564,12,"-0.0833333333333333,tm_re_23,0.416666666666667,C,0.416666666666667,O,0.0833333333333333,Br,0.0833333333333333,Re",tm_re
TAE-PTComp_1911_tm_re_24,TAE-PTComp,0.212776203152444,133.519083333333,1602.229,12,"-0.0833333333333333,tm_re_24,0.416666666666667,C,0.416666666666667,O,0.0833333333333333,Cl,0.0833333333333333,Re",tm_re
TAE-PTComp_1912_tm_re_25,TAE-PTComp,0.17805627583045,111.732,2234.64,20,"-0.05,tm_re_25,0.3,H,0.35,C,0.1,O,0.05,Si,0.15,Cl,0.05,Re",tm_re
TAE-PTComp_1913_tm_re_26,TAE-PTComp,0.182511055849254,114.527416666667,4122.987,36,"-0.0277777777777778,tm_re_26,0.416666666666667,H,0.444444444444444,C,0.0555555555555556,N,0.0555555555555556,O,0.0277777777777778,Re",tm_re
TAE-PTComp_1914_tm_re_27,TAE-PTComp,0.160933283359233,100.98716,2524.679,25,"-0.04,tm_re_27,0.6,H,0.32,C,0.04,P_cation,0.04,Re",tm_re
TAE-PTComp_1915_tm_re_28,TAE-PTComp,0.218291959546572,136.980272727273,1506.783,11,"-0.0909090909090909,tm_re_28,0.0909090909090909,C_cation,0.181818181818182,C,0.363636363636364,N,0.272727272727273,O,0.0909090909090909,Re",tm_re
TAE-PTComp_1916_tm_re_29,TAE-PTComp,0.183658765561564,115.247615384615,1498.219,13,"-0.0769230769230769,tm_re_29,0.461538461538462,C,0.0769230769230769,S_cation,0.384615384615385,S,0.0769230769230769,Re",tm_re
TAE-PTComp_1917_tm_re_30,TAE-PTComp,0.13297150632599,83.44088,2086.022,25,"-0.04,tm_re_30,0.68,H,0.24,N,0.04,Re",tm_re
TAE-PTComp_1918_tm_re_31,TAE-PTComp,0.197325905214219,123.823875,4952.955,40,"-0.025,tm_re_31,0.3,H,0.45,C,0.025,N,0.15,O,0.025,Si_cation,0.05,Re",tm_re
TAE-PTComp_1919_tm_re_32,TAE-PTComp,0.151380467300806,94.9926774193548,2944.773,31,"-0.032258064516129,tm_re_32,0.612903225806452,H,0.258064516129032,C,0.032258064516129,O,0.032258064516129,P,0.032258064516129,S_cation,0.032258064516129,Re",tm_re
TAE-PTComp_1920_tm_os_1,TAE-PTComp,0.121538097581995,76.2663076923077,991.462,13,"-0.0769230769230769,tm_os_1,0.384615384615385,H,0.0769230769230769,B,0.0769230769230769,C,0.0769230769230769,F_anion,0.153846153846154,F,0.153846153846154,S,0.0769230769230769,Os",tm_os
TAE-PTComp_1921_tm_os_2,TAE-PTComp,0.178798256659816,112.1976,2804.94,25,"-0.04,tm_os_2,0.36,H,0.36,C,0.04,O_anion,0.2,O,0.04,Os",tm_os
TAE-PTComp_1922_tm_os_3,TAE-PTComp,0.169367631081792,106.279793103448,3082.114,29,"-0.0344827586206897,tm_os_3,0.517241379310345,H,0.379310344827586,C,0.0344827586206897,O_anion,0.0344827586206897,O,0.0344827586206897,Os",tm_os
TAE-PTComp_1923_tm_os_4,TAE-PTComp,0.166111645939015,104.236631578947,1980.496,19,"-0.0526315789473684,tm_os_4,0.473684210526316,H,0.368421052631579,C,0.0526315789473684,Si_anion,0.0526315789473684,Si,0.0526315789473684,Os",tm_os
TAE-PTComp_1924_tm_os_5,TAE-PTComp,0.147126627974852,92.3233529411765,1569.497,17,"-0.0588235294117647,tm_os_5,0.470588235294118,H,0.470588235294118,B,0.0588235294117647,Os",tm_os
TAE-PTComp_1925_tm_os_6,TAE-PTComp,0.174098354179878,109.248366666667,3277.451,30,"-0.0333333333333333,tm_os_6,0.4,H,0.4,C,0.133333333333333,Cl,0.0666666666666667,Os",tm_os
TAE-PTComp_1926_tm_os_7,TAE-PTComp,0.162674436353984,102.07975,2041.595,20,"-0.05,tm_os_7,0.4,H,0.35,C,0.15,P,0.05,Cl,0.05,Os",tm_os
TAE-PTComp_1927_tm_os_8,TAE-PTComp,0.179812240737641,112.833884615385,2933.681,26,"-0.0384615384615385,tm_os_8,0.384615384615385,H,0.384615384615385,C,0.0769230769230769,N,0.0769230769230769,O,0.0769230769230769,Os",tm_os
TAE-PTComp_1928_tm_os_9,TAE-PTComp,0.152984213699071,95.9990434782609,2207.978,23,"-0.0434782608695652,tm_os_9,0.478260869565217,H,0.0434782608695652,B,0.217391304347826,C,0.0434782608695652,N,0.0869565217391304,O,0.0434782608695652,F,0.0434782608695652,S,0.0434782608695652,Os",tm_os
TAE-PTComp_1929_tm_os_10,TAE-PTComp,0.124436802876734,78.0852727272727,1717.876,22,"-0.0454545454545455,tm_os_10,0.5,H,0.0454545454545455,B,0.0909090909090909,C,0.136363636363636,F,0.0454545454545455,P,0.0909090909090909,S,0.0909090909090909,Os",tm_os
TAE-PTComp_1930_tm_os_11,TAE-PTComp,0.185843964601436,116.618848484848,3848.422,33,"-0.0303030303030303,tm_os_11,0.393939393939394,H,0.454545454545455,C,0.0909090909090909,N,0.0303030303030303,O,0.0303030303030303,Os",tm_os
TAE-PTComp_1931_tm_os_12,TAE-PTComp,0.166298243640162,104.353723404255,4904.625,47,"-0.0212765957446809,tm_os_12,0.574468085106383,H,0.382978723404255,C,0.0212765957446809,Cl,0.0212765957446809,Os",tm_os
TAE-PTComp_1932_tm_os_13,TAE-PTComp,0.11677606472146,73.2780869565217,1685.396,23,"-0.0434782608695652,tm_os_13,0.695652173913043,H,0.0434782608695652,C,0.0434782608695652,O,0.173913043478261,P,0.0434782608695652,Os",tm_os
TAE-PTComp_1933_tm_os_14,TAE-PTComp,0.167835713010143,105.3185,3159.555,30,"-0.0333333333333333,tm_os_14,0.5,H,0.333333333333333,C,0.0666666666666667,N,0.0333333333333333,O,0.0333333333333333,P,0.0333333333333333,Os",tm_os
TAE-PTComp_1934_tm_os_15,TAE-PTComp,0.187954279232493,117.943090909091,1297.374,11,"-0.0909090909090909,tm_os_15,0.454545454545455,B,0.454545454545455,F,0.0909090909090909,Os",tm_os
TAE-PTComp_1935_tm_os_16,TAE-PTComp,0.0916151904890907,57.4894,287.447,5,"-0.2,tm_os_16,0.8,Br,0.2,Os",tm_os
TAE-PTComp_1936_tm_os_17,TAE-PTComp,0.139455530607442,87.5096666666667,787.587,9,"-0.111111111111111,tm_os_17,0.444444444444444,H,0.222222222222222,C,0.222222222222222,Cl,0.111111111111111,Os",tm_os
TAE-PTComp_1937_tm_os_18,TAE-PTComp,0.211639604869938,132.805857142857,929.641,7,"-0.142857142857143,tm_os_18,0.428571428571429,C,0.428571428571429,O,0.142857142857143,Os",tm_os
TAE-PTComp_1938_tm_os_19,TAE-PTComp,0.181763836445751,114.058529411765,1938.995,17,"-0.0588235294117647,tm_os_19,0.352941176470588,H,0.352941176470588,C,0.176470588235294,O,0.0588235294117647,Si,0.0588235294117647,Os",tm_os
TAE-PTComp_1939_tm_os_20,TAE-PTComp,0.21395591490761,134.259363636364,1476.853,11,"-0.0909090909090909,tm_os_20,0.363636363636364,C,0.181818181818182,N,0.363636363636364,O,0.0909090909090909,Os",tm_os
TAE-PTComp_1940_tm_os_21,TAE-PTComp,0.198847243857258,124.778529411765,2121.235,17,"-0.0588235294117647,tm_os_21,0.294117647058824,H,0.470588235294118,C,0.0588235294117647,N,0.117647058823529,O,0.0588235294117647,Os",tm_os
TAE-PTComp_1941_tm_os_22,TAE-PTComp,0.173084673963586,108.612272727273,1194.735,11,"-0.0909090909090909,tm_os_22,0.454545454545455,C,0.454545454545455,S,0.0909090909090909,Os",tm_os
TAE-PTComp_1942_tm_os_23,TAE-PTComp,0.191845410270084,120.3848125,3852.314,32,"-0.03125,tm_os_23,0.34375,H,0.4375,C,0.125,O,0.03125,P,0.0625,Os",tm_os
TAE-PTComp_1943_tm_os_24,TAE-PTComp,0.149979185797179,94.11336,2352.834,25,"-0.04,tm_os_24,0.4,H,0.16,C,0.16,N,0.24,O,0.04,Os",tm_os
TAE-PTComp_1944_tm_os_25,TAE-PTComp,0.170965745433848,107.282625,2574.783,24,"-0.0416666666666667,tm_os_25,0.416666666666667,H,0.333333333333333,C,0.166666666666667,N,0.0416666666666667,O,0.0416666666666667,Os",tm_os
TAE-PTComp_1945_tm_os_26,TAE-PTComp,0.167817443507947,105.307035714286,2948.597,28,"-0.0357142857142857,tm_os_26,0.571428571428571,H,0.392857142857143,C,0.0357142857142857,Os",tm_os
TAE-PTComp_1946_tm_os_27,TAE-PTComp,0.195550485977773,122.709782608696,2822.325,23,"-0.0434782608695652,tm_os_27,0.260869565217391,H,0.391304347826087,C,0.260869565217391,O,0.0869565217391304,Os",tm_os
TAE-PTComp_1947_tm_os_28,TAE-PTComp,0.18467147475824,115.8831,2317.662,20,"-0.05,tm_os_28,0.4,H,0.5,C,0.05,S,0.05,Os",tm_os
TAE-PTComp_1948_tm_os_29,TAE-PTComp,0.165009593660607,103.545083333333,2485.082,24,"-0.0416666666666667,tm_os_29,0.5,H,0.375,C,0.0833333333333333,P,0.0416666666666667,Os",tm_os
TAE-PTComp_1949_tm_os_30,TAE-PTComp,0.192967673769471,121.089043478261,2785.048,23,"-0.0434782608695652,tm_os_30,0.478260869565217,H,0.0434782608695652,C_cation,0.434782608695652,C,0.0434782608695652,Os",tm_os
TAE-PTComp_1950_tm_os_31,TAE-PTComp,0.18823815759768,118.121227272727,2598.667,22,"-0.0454545454545455,tm_os_31,0.5,H,0.0454545454545455,C_cation,0.409090909090909,C,0.0454545454545455,Os",tm_os
TAE-PTComp_1951_tm_os_32,TAE-PTComp,0.154129789626221,96.7179032258065,2998.255,31,"-0.032258064516129,tm_os_32,0.612903225806452,H,0.258064516129032,C,0.032258064516129,N,0.032258064516129,P,0.032258064516129,S_cation,0.032258064516129,Os",tm_os
TAE-PTComp_1952_tm_os_33,TAE-PTComp,0.182267606669631,114.37465,2287.493,20,"-0.05,tm_os_33,0.45,H,0.4,C,0.05,N,0.05,P_cation,0.05,Os",tm_os
TAE-PTComp_1953_tm_ir_1,TAE-PTComp,0.179899907838479,112.888896551724,3273.778,29,"-0.0344827586206897,tm_ir_1,0.413793103448276,H,0.0344827586206897,C_anion,0.379310344827586,C,0.137931034482759,N,0.0344827586206897,Ir",tm_ir
TAE-PTComp_1954_tm_ir_2,TAE-PTComp,0.153301148513416,96.1979230769231,1250.573,13,"-0.0769230769230769,tm_ir_2,0.384615384615385,H,0.0769230769230769,B,0.153846153846154,C,0.0769230769230769,N,0.0769230769230769,O_anion,0.0769230769230769,O,0.153846153846154,Ir",tm_ir
TAE-PTComp_1955_tm_ir_3,TAE-PTComp,0.143566572839226,90.0893846153846,1171.162,13,"-0.0769230769230769,tm_ir_3,0.384615384615385,H,0.0769230769230769,B,0.153846153846154,C,0.0769230769230769,N,0.0769230769230769,O_anion,0.0769230769230769,O,0.153846153846154,Ir",tm_ir
TAE-PTComp_1956_tm_ir_4,TAE-PTComp,0.13769933353221,86.4076363636364,950.484,11,"-0.0909090909090909,tm_ir_4,0.454545454545455,H,0.181818181818182,C,0.0909090909090909,O_anion,0.0909090909090909,O,0.181818181818182,Ir",tm_ir
TAE-PTComp_1957_tm_ir_5,TAE-PTComp,0.14388399723108,90.2885714285714,632.02,7,"-0.142857142857143,tm_ir_5,0.428571428571429,H,0.142857142857143,C,0.142857142857143,N,0.142857142857143,O_anion,0.142857142857143,Ir",tm_ir
TAE-PTComp_1958_tm_ir_6,TAE-PTComp,0.139061486091962,87.2624,872.624,10,"-0.1,tm_ir_6,0.3,H,0.2,C,0.1,N,0.3,Cl,0.1,Ir",tm_ir
TAE-PTComp_1959_tm_ir_7,TAE-PTComp,0.120707113236733,75.7448571428572,530.214,7,"-0.142857142857143,tm_ir_7,0.142857142857143,H,0.142857142857143,C,0.142857142857143,P,0.428571428571429,Cl,0.142857142857143,Ir",tm_ir
TAE-PTComp_1960_tm_ir_8,TAE-PTComp,0.202879088303929,127.30855,2546.171,20,"-0.05,tm_ir_8,0.15,H,0.4,C,0.3,O,0.05,P,0.1,Ir",tm_ir
TAE-PTComp_1961_tm_ir_9,TAE-PTComp,0.174844344656999,109.716482758621,3181.778,29,"-0.0344827586206897,tm_ir_9,0.517241379310345,H,0.0689655172413793,B,0.379310344827586,C,0.0344827586206897,Ir",tm_ir
TAE-PTComp_1962_tm_ir_10,TAE-PTComp,0.148983066516833,93.4882857142857,2617.672,28,"-0.0357142857142857,tm_ir_10,0.571428571428571,H,0.285714285714286,C,0.0714285714285714,Cl,0.0714285714285714,Ir",tm_ir
TAE-PTComp_1963_tm_ir_11,TAE-PTComp,0.152303588064766,95.5719444444445,1720.295,18,"-0.0555555555555556,tm_ir_11,0.444444444444444,H,0.222222222222222,C,0.111111111111111,P,0.111111111111111,S,0.111111111111111,Ir",tm_ir
TAE-PTComp_1964_tm_ir_12,TAE-PTComp,0.185827238887951,116.608352941176,1982.342,17,"-0.0588235294117647,tm_ir_12,0.352941176470588,H,0.411764705882353,C,0.0588235294117647,N,0.117647058823529,O,0.0588235294117647,Ir",tm_ir
TAE-PTComp_1965_tm_ir_13,TAE-PTComp,0.188207410748124,118.101933333333,1771.529,15,"-0.0666666666666667,tm_ir_13,0.333333333333333,H,0.466666666666667,C,0.133333333333333,N,0.0666666666666667,Ir",tm_ir
TAE-PTComp_1966_tm_ir_14,TAE-PTComp,0.15390888856058,96.5792857142857,676.055,7,"-0.142857142857143,tm_ir_14,0.428571428571429,H,0.428571428571429,C,0.142857142857143,Ir",tm_ir
TAE-PTComp_1967_tm_ir_15,TAE-PTComp,0.107330916026766,67.3511666666667,404.107,6,"-0.166666666666667,tm_ir_15,0.833333333333333,F,0.166666666666667,Ir",tm_ir
TAE-PTComp_1968_tm_ir_16,TAE-PTComp,0.0985719513250145,61.8548333333333,371.129,6,"-0.166666666666667,tm_ir_16,0.833333333333333,H,0.166666666666667,Ir",tm_ir
TAE-PTComp_1969_tm_ir_17,TAE-PTComp,0.200253727322171,125.661111111111,1130.95,9,"-0.111111111111111,tm_ir_17,0.333333333333333,C,0.111111111111111,N,0.444444444444444,O,0.111111111111111,Ir",tm_ir
TAE-PTComp_1970_tm_ir_18,TAE-PTComp,0.204631306204663,128.408083333333,3081.794,24,"-0.0416666666666667,tm_ir_18,0.25,H,0.5,C,0.166666666666667,O,0.0833333333333333,Ir",tm_ir
TAE-PTComp_1971_tm_ir_19,TAE-PTComp,0.171526616524444,107.634576923077,2798.499,26,"-0.0384615384615385,tm_ir_19,0.384615384615385,H,0.384615384615385,C,0.0769230769230769,S,0.0769230769230769,Cl,0.0769230769230769,Ir",tm_ir
